representative	catalogue_masks	catalogue_sha256	terminal_evidence
45	571320	b16414ef4e6a3a026811cf9931c295a6b367e7474a91b7c70b472ae2d4a36e93	fresh raw 55-shard audit; join-summary.tsv
46	1535958	c63fbd49f9053541dfe43171f8156d1a2640d9346923e4b655d7d3603ba74f9f	fresh raw 55-shard audit; join-summary.tsv
47	554643	7031f1a0569c523ff4c67bbf092fae2f10bb9963e7564f371d0b0098c0046ab1	fresh raw 55-shard audit; join-summary.tsv
48	619456	bfa1d72aee72cbbe5dc6b1dc71b8daef5ad493e81a64a30dd2880ebb5a099ac3	fresh raw 55-shard audit; join-summary.tsv
49	2446454	53d5bc1c6a20873c6c44d6a410c538f4e9f4fcfdc87ab882f162fa4f121d0cf3	fresh raw 55-shard audit; join-summary.tsv
50	686165	a4db8bbfd308351498efcc1cf9bf0a8e89668f71f1731764577ffc8b9dd3413d	fresh raw 55-shard audit; join-summary.tsv
51	814122	2d89e9e7cb69396655eecaa7b5d8c66679d656d2da61034a1965edf794570179	fresh raw 55-shard audit; join-summary.tsv
52	430672	e0d6d64ed597d543907ca4becae1c3704d03a782a2ad08670688c4dfea2cd47f	fresh raw 55-shard audit; join-summary.tsv
53	289590	54ef39928a170625452cf843def3d86d0e242478405a4097236e5c6b3e150f34	fresh exact-source-chain audit; source JSON independently rerun
54	657331	2682676c8bd3ff5a176ef3c3d63d1a5a3c984e7ffcd3e84c13fd21cde901daff	fresh raw 55-shard audit; join-summary.tsv
55	638503	0e146b2b627cd3e2be16d3851544a842a5c5e0b1ac6d2cd0133807f6d3978e32	fresh raw 55-shard audit; join-summary.tsv
56	195336	ed39d73f4aa7e5f69ef768d47b5fba3dcd67ba35d33a92173458c529cd716ca5	fresh raw 55-shard audit; join-summary.tsv
57	1324535	9333d9c7ba887b8e106fda8310c7816c025c458ac01c1ba05f75047433a77b22	fresh raw 55-shard audit; join-summary.tsv
58	491875	6e5cc4ff48ebc0b0e5a41ea87e80c8dfc01356c5b3e68e0ff053387bab3eb7ec	fresh raw 55-shard audit; join-summary.tsv
59	1791753	3a59e381e37c28accf9d51649d2cfb2d9e959c319526b816362e3f37a94867ca	fresh raw 55-shard audit; join-summary.tsv
60	431486	129e63e526daef9917759175b11462e84ac0bedde2e796ff9af8bddb38500d3b	fresh raw 55-shard audit; join-summary.tsv
61	965134	c70d3014ad8f3c8cf8f6b98e653f916f913e5329b10672456165217dd1aed75c	fresh raw 55-shard audit; join-summary.tsv
62	313232	080f6ec43e157f04fd0a1037f6a72e95721a2152d82c7d783433c30bf8735ec0	fresh raw 55-shard audit; join-summary.tsv
63	697361	5708b28ecf34a246964414084d6f448f949beec45beed116c72960915212ac20	fresh raw 55-shard audit; join-summary.tsv
64	808369	39bba10f2d0069777ce0c9e7fdff2690b95bf50fa4cd4d79a42e002263a9c98e	fresh raw 55-shard audit; join-summary.tsv
65	673086	b9a7aa70690d360e6aa416d2f31123d91a65eb7b29a1916ff5e9a73280b40e7a	fresh raw 55-shard audit; join-summary.tsv
66	890940	3d1fd8bf21d9c03cefdd014be1e00782f54e4e55e40cf015ac350a3b931f9acb	fresh raw 55-shard audit; join-summary.tsv
67	500983	5772c394dff3f0b3db4c0625360fa78ec5f6153d4378306b4810da2b6e376e92	fresh raw 55-shard audit; join-summary.tsv
68	393666	a667929b5e2213f23e32b6c9d024478178fbb5e3a28ee7e429768288f3d5ef1b	fresh raw 55-shard audit; join-summary.tsv
69	740401	03acc0f8d717d9a7939aba5525c3a708858a172b8628afaf2d5caccdf583fe8f	fresh raw 55-shard audit; join-summary.tsv
70	406532	1c037ce888ec7d2cf2e5a53c90804da71de0546dff6285a14afad9cd95d2aa8d	fresh raw 55-shard audit; join-summary.tsv
71	696427	8af0c986a581c995b00fe2988753267618847c3bff8cbe7cbfa0398505bc6a15	fresh raw 55-shard audit; join-summary.tsv
72	499099	4ba7f24cdf8e6e214a9a7368c2847f8fc18bdc0ec9c101a8bffa9a8fdcf34eb7	fresh raw 55-shard audit; join-summary.tsv
73	606835	2a838633f52804aece3b6adddb0a2839e91eb48446d1d021185b1144893690fd	fresh raw 55-shard audit; join-summary.tsv
74	496098	c0f1e3f8542f19b410f710616ff742e830118b4f549fd311c47254f6b58582c7	fresh raw 55-shard audit; join-summary.tsv
75	674886	9ba9a4e556f00117a4b501c6efc2b1664e8b0cb97552602b0f6804b3e45ebf46	fresh raw 55-shard audit; join-summary.tsv
76	252279	d4b6ba4d66754097779b6d82c162a5db70577cb0ffc4a35731db72af6756ce5f	prior raw 55-shard audit; exact catalogue/result metadata
77	1157502	574a2e259f879ae2df8d5f8f2cc5af15453050a873a8132cde9f9af05fd69456	fresh raw 55-shard audit; join-summary.tsv
78	586908	aca9ab71ac353dbbfd597ddad14a114dbc053bd1a8fc95e11478c801639a7df2	fresh raw 55-shard audit; join-summary.tsv
79	507713	72b9aca9bbf28d4255e3f632a15b8cab8ffd38c9aa2c6254145356965f7c71c8	fresh raw 55-shard audit; join-summary.tsv
80	715410	31ccb6eeb2d38cf388a048d0c44630804a3187f19a4fa729e6278c93657a2971	fresh raw 55-shard audit; join-summary.tsv
81	1758261	8eca06dce45bc70d9576441772bc85c7700645f0c046fc50f5c1fe57d4f2084d	fresh raw 55-shard audit; join-summary.tsv
82	916977	4ff08170eee2cf635106a511dd6bf2602d5ba2ff77099baa5b1b7a8d896596a5	fresh raw 55-shard audit; join-summary.tsv
83	397166	c7d7df6bd1ec4c8e01dd2e90690ad8cf832145195f8a4ecaa2710acb2dad73d1	fresh raw 55-shard audit; join-summary.tsv
84	784185	e5538b1cfcecc3ff1ff048f13fd48d3faaf8f746e4a56a6c21c30f94ad454242	fresh raw 55-shard audit; join-summary.tsv
85	322739	75f3833599ec3cbb2cefca5e1fde063306e1d8a0c6d8130358dcc1ba6e3f54b0	fresh raw 55-shard audit; join-summary.tsv
86	314596	75123699069acaed63a58891404b4fc43fa261f24abcf9d8c2b1a4717609230c	fresh raw 55-shard audit; join-summary.tsv
87	790845	a083faf0de776faf046d86cc16c649301547fdb730d209b179343bbd2b80b9a8	fresh raw 55-shard audit; join-summary.tsv
88	110303	6d9944f33a2689d5c2fdfaaf9158392e160fee62bb032d2a035e52723dcc353f	prior raw 55-shard audit; exact catalogue/result metadata
