package_member	bytes	sha256	provenance
work/root/rep53_capset_join.log	1072	19c4b2392ccbd7631a31a8f23504fc19e0444e4d9d0a8da6c96c2aed934d2111	mounted-drive source; copied byte-for-byte
work/solver_agent/cap20_rep53_all_masks_v4.audit.log	96	29d4e230f0b0ae7c8fb27c8997ff33c004dff13b3fffb556cdbb07be6d4ea457	mounted-drive source; copied byte-for-byte
