shard	first_caps	residual_instances	residual_nodes	residual_conflicts	residual_sat	exit_code	started_utc	finished_utc	out_sha256	log_sha256	status_sha256	residuals_sha256	command_sha256
0	21249	116456	1632852	874654	0	20	2026-09-26T03:26:44Z	2026-09-26T03:55:52Z	cefd85122f29d5c5e9490651ffaa5f1c3d077bf690ae45a9aae0f8433190a197	4703e8e273c1b5d378144458377d9c47402edde9a68978c5bf535b25938067a8	5378796307535df3ec8d8b15a2e2dc5641419c3d3060cfe32238c0fa973f7aa3	403c8b2609a0eda0e4208e49584456117013a3778a28b0ba481686ba8dfd7508	544a81d2c1e38671074736c72dbee74413a4d7011b5629ef72ca84700dbc9f3e
1	21249	122199	1718705	920452	0	20	2026-09-26T03:26:44Z	2026-09-26T03:56:02Z	c6a1945144eafdaa8800089a07a0589fa56187367960608eb223719d7a680a14	494db708e063cc99583b386ee9b522188737d2de36f0492c066a0c13a82c1296	5378796307535df3ec8d8b15a2e2dc5641419c3d3060cfe32238c0fa973f7aa3	5f039e7a432e1906a9680a77143d8f17b00e1f581cb875c741be82024af92e7d	2e91f74179c662433e47f994487f13a2a246134766be9a6a710f278cef18f627
2	21249	116573	1639485	878029	0	20	2026-09-26T03:26:44Z	2026-09-26T03:55:47Z	ac9a2c268d5c42cf4e5df6579c4efb9e5da3c011856674d1d706a225b494a09e	ae024a71618549706925784c1d7880a7270ca2cada2be441254f235b539557e3	5378796307535df3ec8d8b15a2e2dc5641419c3d3060cfe32238c0fa973f7aa3	fd7b88dfd4f8ed81a1d38da6b3535f3eff180f0ec9d0dce6444e5cbbe2b4ca8d	1a34dc3d448efbd28765457814a85e3040a14ecf1af507ba8257edd07854053d
3	21248	121352	1706888	914120	0	20	2026-09-26T03:26:44Z	2026-09-26T03:55:52Z	e4fc32ee4b757cf5a1e22266e8e3a5f95638516a706903c5ac0174e880f3c8c2	c7d4b6857e9668531d7d694e5e4e867f50579675458eb5bda2d70e12e1ef59b9	5378796307535df3ec8d8b15a2e2dc5641419c3d3060cfe32238c0fa973f7aa3	c79e6c48aa4d468b82448b904b092e69ed135fc6bbce26171093bbc8c975b868	a21f754d88995328703b8557e4c7547096209ca07142d62ee7ac275c4e3caf6d
4	21248	117221	1647737	882479	0	20	2026-09-26T03:26:44Z	2026-09-26T03:55:48Z	1ba9379e3263ddfd754ddec13ed7c669df3311bd97044dd3d606dffc39137396	4fdee8c6a28ff593035d1129f578a6317643c4b423d7f58c43ada0b2dc64ce4d	5378796307535df3ec8d8b15a2e2dc5641419c3d3060cfe32238c0fa973f7aa3	22e4d94c691ed66bf8957d9ebcff1bf90c996885b8039187a154facc6c95aa2d	443e59da9903f3c76b8d6c974fce0572d6690907d242bbd7193eb193c50add8e
5	21248	114837	1614165	864501	0	20	2026-09-26T03:26:44Z	2026-09-26T03:55:46Z	30e76572031e422a7f783dfea7600e4db7245db1baeb3ca1d21bde4877170d24	1badffca73cc8c7de6f54084cbd7a3b5f240ebfb2c61d0c20ff0fb7f8a63de7d	5378796307535df3ec8d8b15a2e2dc5641419c3d3060cfe32238c0fa973f7aa3	2f69bdd06ce8d4dca07e0e717bab6c2ff19d024f0063737b7aaefa0b32dee191	62c660e3508575e8fc1937ecc98590923814b559def1fede14972c18b644607c
