0 0123000032211000608050000c88024 028021600088441000142102820080a 10009000c14000c8124008380006090 0c4806950812a107802b84854051601
0 0180900062081040428081000c48410 0408226000504111001808320000882 1201040090a1008810015000c082024 086201950902a406a066248d0215209
0 0281020481038000504180004882030 0900244022200154003030008401408 104210104050008a020200a30004a80 042881a118887401a08c4d1c0258007
1 0005040a0a0008824005c0044009084 00c0825004001200322010402640050 05024001202240010c8004801920208 1a201924805d814c815028238006c03
1 0023000488400182830004260001814 00c0c010200a18001440c0002502088 0a00094800314000480528009020202 150416230604824d20b010c14a4c441
1 0023000488400182830004260001814 00c0c010200a18001440c0002508088 0a00094800314000480528009020202 150416230604824d20b010c14a46441
1 0024501408040a00130000a05240210 048003400060c0002c105001202080a 11000c082600014140a0a0000d00044 0a438023801b108e80450c46800f481
1 0024502408040a08110000a05240210 08800350006040002c105001202080a 11000c082600014140a0a0000d00044 06438003801b908682450c46800f481
1 0024821204001104142010402608050 00c0052800504008081188001822280 05005000aa000280228004814100c01 1a030845002f8843c1446026804500e
1 0024821204001104142010402608050 02800c6000158002800120848041005 044011088a0000410a0488001824280 19034005206a4a8861d044234102c0a
1 00400c1022028103000544020a04480 048210048c000240928000250003014 09000160006048002d0010403060009 1225c20b001d108c4070a880c508a42
1 00408211005000c20e0088020904084 09010104800d400400242020a048401 1080480824020a08204140050003018 062614620a209101d19014c05620a42
1 0041400482040a080a4000a0c003480 02801160001210406100a0001848210 180008120029400410051800252000a 052686092c40818384b044470204845
1 0041400482040a080a4000a0c003480 02801160001210406100a0001848210 18000a0a00284004140108442120009 052684112c41818380b454030604846
1 0041400482040a080a4000a0c003480 02801160001210406100a0001848210 18000a120028400414011800252000a 052684092c41818380b444470204845
1 004180022a008203000510414200884 02204860001448001d0000a09120010 1080050c000b1008220024002448202 0d061211846001c4c0f0c8060807449
1 0044c001860082020c0000c28021404 00a0034400491000120130006048201 0301041808020048202484010904012 1c02182220344985c1d0482416028c8
1 0044c02080444804101188001102048 0480141408108080a24000a24240002 1101010a000b000808a060002824014 0a220a4126201343450414458409e81
1 0047000608400188810000a30104082 042040012030c0010c8084001802a40 10800a1804040046000540442028408 0b009560820b1a0072703800c641015
1 00600150040818002a2010402640050 0104840a0a0000814005c0014009280 04830000a0250104014000a28120009 1a005a250052c24a94902c041806c06
1 00608028001800cc042004411300041 0481040488058000a04100a60040012 0900034106000800491090008403088 120658122062530312846800682ce04
1 0060811200518000181040230202084 028104280028404880448040a021400 05021000aa000280228014005100841 18044a4504061907452128840c4c21a
1 0060811200518000181040230202084 028104280028404880448040a021400 050210048a000280228014005100811 18044a4124061907452128840c4c24a
